,Content ID,Reaction Type,Reaction Score,Datetime,Content Type,Category,,Sorted,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,0,11/7/2020 9:43,photo,Studying,,Animals,74965
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,10,6/17/2021 12:22,photo,Studying,,science,71168
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,4/18/2021 5:13,photo,Studying,,healthy eating,69339
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,0,1/6/2021 19:13,photo,Studying,,technology,68738
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,8/23/2020 12:25,photo,Studying,,food,66676
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,12/7/2020 6:27,photo,Studying,,culture,66579
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,70,4/11/2021 17:35,photo,Studying,,travel,64880
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,1/27/2021 8:32,photo,Studying,,cooking,64756
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,4/1/2021 22:54,photo,Studying,,soccer,57783
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,65,8/4/2020 5:05,photo,Studying,,education,57436
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,11/7/2020 8:36,photo,Studying,,fitness,55323
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,11/2/2020 6:28,photo,Studying,,Studying,54269
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,11/1/2020 1:16,photo,Studying,,dogs,52511
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,10/7/2020 18:39,photo,Studying,,tennis,50339
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,9/3/2020 18:51,photo,Studying,,veganism,49619
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,2/24/2021 5:09,photo,Studying,,public speaking,49264
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,9/23/2020 6:24,photo,Studying,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,2/24/2021 11:37,photo,Studying,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,5/22/2021 19:44,photo,Studying,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,45,1/31/2021 16:03,photo,Studying,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,35,11/20/2020 17:26,photo,Studying,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,12,4/11/2021 20:47,photo,Studying,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,50,6/13/2021 16:46,photo,Studying,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,60,4/11/2021 14:29,photo,Studying,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,12,3/2/2021 19:21,photo,Studying,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,6/27/2020 18:44,photo,Studying,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,5/9/2021 21:05,photo,Studying,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,70,8/4/2020 23:58,photo,Studying,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,8/28/2020 3:57,photo,Studying,,,
